Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Highest Average Percentage,Lowest Average Percentage
Short Sell,2024-04-23 10:30:00-04:00,191.77999877929688,514,-58.47747802734375,98574.9193725586,95.1963348388672,Sell Hold,98611.63822937012,12,17,-0.059287705680387257,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-23 11:30:00-04:00,191.7122039794922,514,-34.846527099609375,98540.07284545898,71.56538391113281,Sell Hold,98576.79170227052,12,17,-0.0353502973387265,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-23 12:30:00-04:00,192.0800018310547,513,-3.0319061279296875,98537.04093933104,39.750762939453125,Sell Hold,98573.75979614258,12,17,-0.003076825539493153,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-23 13:30:00-04:00,191.7700042724609,514,32.74125671386719,98569.78219604492,3.97760009765625,Sell Hold,98606.50105285645,12,17,0.033227359378530996,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-23 14:30:00-04:00,191.6300048828125,514,-71.95968627929688,98497.82250976562,108.67854309082033,Sell Hold,98534.54136657716,12,17,-0.07300379961901167,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-23 15:30:00-04:00,192.13999938964844,512,-122.142822265625,98375.6796875,158.86167907714844,Sell Hold,98412.39854431152,12,17,-0.1240056065742114,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-24 09:30:00-04:00,192.24989318847656,511,-135.98426818847656,98239.69541931152,172.703125,Sell Hold,98276.41427612305,12,17,-0.13822955899308034,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-24 10:30:00-04:00,191.05499267578125,514,-37.42918395996094,98202.26623535156,74.14804077148438,Sell Hold,98238.98509216309,12,17,-0.038099857496711326,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-24 11:30:00-04:00,190.9900054931641,514,-33.403411865234375,98168.86282348631,70.12226867675781,Sell Hold,98205.58168029784,12,17,-0.034014909376117966,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-24 12:30:00-04:00,191.9949951171875,511,-59.420318603515625,98109.4425048828,96.13917541503906,Sell Hold,98146.16136169434,12,17,-0.06052868179837942,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-24 13:30:00-04:00,192.47999572753903,509,-137.1246795654297,97972.31782531738,173.84353637695312,Sell Hold,98009.0366821289,12,17,-0.13976705612060797,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-24 14:30:00-04:00,192.92999267578125,508,36.11845397949219,98008.43627929688,0.60040283203125,Sell Hold,98045.1551361084,12,17,0.03686597886138679,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-24 15:30:00-04:00,193.0399932861328,507,-137.15968322753906,97871.27659606934,173.8785400390625,Sell Hold,97907.99545288086,12,17,-0.13994681318725663,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-25 09:30:00-04:00,192.41000366210935,508,-126.99473571777344,97744.28186035156,163.71359252929688,Sell Hold,97781.00071716309,12,17,-0.12975690124274292,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-25 10:30:00-04:00,193.1699981689453,506,-0.262786865234375,97744.01907348631,36.98164367675781,Sell Hold,97780.73793029784,12,17,-0.0002688513949331314,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-25 11:30:00-04:00,193.6199951171875,505,34.078460693359375,97778.09753417967,2.6403961181640625,Sell Hold,97814.8163909912,12,17,0.034865008638266005,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-25 12:30:00-04:00,193.27999877929688,506,21.58184814453125,97799.67938232422,15.137008666992188,Sell Hold,97836.39823913574,12,17,0.02207227251174689,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-25 13:30:00-04:00,192.7100067138672,507,-95.70597839355467,97703.97340393066,132.42483520507812,Sell Hold,97740.6922607422,12,17,-0.09785919442477442,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-25 14:30:00-04:00,193.30999755859372,505,-82.42463684082031,97621.54876708984,119.14349365234376,Sell Hold,97658.26762390137,12,17,-0.08436160165161138,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-25 15:30:00-04:00,193.3800048828125,505,35.35369873046875,97656.90246582033,1.3651580810546875,Sell Hold,97693.62132263184,12,17,0.036215056180712565,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-26 09:30:00-04:00,194.16000366210935,503,5.579376220703125,97662.48184204102,31.139480590820312,Sell Hold,97699.20069885254,12,17,0.005713243078379781,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-26 10:30:00-04:00,193.2958068847656,505,-48.099365234375,97614.38247680664,84.81822204589844,Sell Hold,97651.10133361816,12,17,-0.049250607118679166,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-26 11:30:00-04:00,193.9600067138672,503,-52.49909973144531,97561.8833770752,89.21795654296875,Sell Hold,97598.60223388672,12,17,-0.05378213578713075,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-26 12:30:00-04:00,194.0507049560547,502,-148.4294891357422,97413.45388793944,185.1483459472656,Sell Hold,97450.17274475098,12,17,-0.1521388107710867,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-26 13:30:00-04:00,194.38999938964844,501,-24.064193725585938,97389.38969421388,60.783050537109375,Sell Hold,97426.1085510254,12,17,-0.02470315214697071,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-26 14:30:00-04:00,194.30999755859372,501,-40.08091735839844,97349.30877685548,76.79977416992188,Sell Hold,97386.027633667,12,17,-0.04115532244759486,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-26 15:30:00-04:00,193.4900054931641,503,-23.836013793945312,97325.47276306152,60.55487060546875,Sell Hold,97362.19161987305,12,17,-0.024485036507651926,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-29 09:30:00-04:00,193.66000366210935,502,-108.1509246826172,97217.3218383789,144.86978149414062,Sell Hold,97254.04069519044,12,17,-0.11112293792387752,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-29 10:30:00-04:00,193.88999938964844,501,-78.43214416503906,97138.88969421388,115.1510009765625,Sell Hold,97175.6085510254,12,17,-0.08067712901556347,0.4159112860771303,0.9628107010875327
