Signal,Start Close Price,Start Date,End Close Price,End Date,Start Investment,End Investment,Profit/Loss,Highest Investment,Lowest Investment,Highest Percentage,Lowest Percentage
Buy - Sell,1453.949951171875,2023-12-05 15:15:00+05:30,1475.5,2023-12-06 15:15:00+05:30,52342.1982421875,53118.0,775.8017578125,53118.0,52342.1982421875,1.4821726711263885,0.0
Short Sell - Buy,1551.8499755859375,2023-01-24 14:15:00+05:30,1473.6500244140625,2023-12-12 13:15:00+05:30,100870.24841308594,61933.198974609375,38937.04943847656,102396.796875,49725.0,0.0,50.703997677922686
Buy - Sell,1473.6500244140625,2023-12-12 13:15:00+05:30,1508.0,2023-12-14 15:15:00+05:30,61893.30102539063,63336.0,1442.6989746093677,62995.80102539063,60309.89794921875,1.781291321895594,0.0
Short Sell - Buy,1550.550048828125,2023-01-24 15:15:00+05:30,1561.699951171875,2023-12-19 12:15:00+05:30,100785.75317382812,65219.698974609375,35566.05419921875,102396.796875,49725.0,0.0,50.66266963919212
Buy - Sell,1561.699951171875,2023-12-19 12:15:00+05:30,1536.4000244140625,2023-12-20 15:15:00+05:30,65591.39794921875,64528.80102539063,-1062.5969238281177,66261.30102539062,64625.39794921875,1.0213276391677426,0.0
Short Sell - Buy,1542.0999755859375,2023-01-25 09:15:00+05:30,1538.3499755859375,2023-12-21 11:15:00+05:30,100236.49841308594,64547.698974609375,35688.79943847656,102396.796875,49725.0,0.0,50.39232137272228
Buy - Sell,1538.3499755859375,2023-12-21 11:15:00+05:30,1560.4000244140625,2023-12-22 15:15:00+05:30,64610.698974609375,65536.80102539062,926.10205078125,65549.39794921875,64449.0,1.4528537680396612,0.0
Short Sell - Buy,1548.0,2023-01-25 10:15:00+05:30,1557.949951171875,2023-12-27 13:15:00+05:30,99072.0,66925.20104980469,32146.798950195312,102396.796875,49725.0,0.0,49.80922965116279
Buy - Sell,1557.949951171875,2023-12-27 13:15:00+05:30,1568.449951171875,2023-12-27 14:15:00+05:30,66991.84790039062,67443.34790039062,451.5,66991.84790039062,66991.84790039062,0.0,0.0
Short Sell - Buy,1546.449951171875,2023-01-25 11:15:00+05:30,1545.0,2023-12-29 11:15:00+05:30,98972.796875,66394.15209960938,32578.644775390625,102396.796875,49725.0,0.0,49.75892207754688
Buy - Sell,1545.0,2023-12-29 11:15:00+05:30,1535.1500244140625,2024-01-05 10:15:00+05:30,66435.0,66011.45104980469,-423.5489501953125,66865.0,64072.152099609375,0.6472491909385114,0.0
Short Sell - Buy,1548.050048828125,2023-01-25 12:15:00+05:30,1519.800048828125,2024-01-10 15:15:00+05:30,99075.203125,63840.0,35235.203125,102396.796875,49725.0,0.0,49.81085233076578
Buy - Sell,1519.800048828125,2024-01-10 15:15:00+05:30,1610.8499755859375,2024-01-12 11:15:00+05:30,63831.60205078125,67655.69897460938,3824.096923828125,67233.60205078125,62626.198974609375,5.329648466747768,0.0
Short Sell - Buy,1549.050048828125,2023-01-25 13:15:00+05:30,1642.4000244140625,2024-01-17 11:15:00+05:30,99139.203125,58962.59912109375,40176.60400390625,102396.796875,49725.0,0.0,49.84325228305087
Buy - Sell,1642.4000244140625,2024-01-17 11:15:00+05:30,1641.5,2024-01-18 12:15:00+05:30,57484.00085449219,57452.5,-31.5008544921875,57525.99914550781,57317.75085449219,0.07306083499987105,0.0
Short Sell - Buy,1543.5,2023-01-25 14:15:00+05:30,1658.5,2024-01-24 13:15:00+05:30,98784.0,43083.30126953125,55700.69873046875,102396.796875,41462.5,0.0,58.02710965338517
Buy - Sell,1658.5,2024-01-24 13:15:00+05:30,1667.800048828125,2024-01-25 12:15:00+05:30,41462.5,41695.001220703125,232.501220703125,41948.74877929688,41462.5,1.1727435135288087,0.0
Short Sell - Buy,1522.449951171875,2023-01-31 12:15:00+05:30,1655.800048828125,2024-01-29 13:15:00+05:30,95914.34692382812,41447.50061035156,54466.84631347656,102396.796875,41288.751220703125,0.0,56.95247630316116
Buy - Sell,1655.800048828125,2024-01-29 13:15:00+05:30,1653.5,2024-01-30 15:15:00+05:30,41395.001220703125,41337.5,-57.501220703125,42141.25061035156,41277.49938964844,1.802752428172925,0.0
Short Sell - Buy,1522.0,2023-01-31 13:15:00+05:30,1661.550048828125,2024-01-31 14:15:00+05:30,95886.0,38058.098876953125,57827.901123046875,102396.796875,36554.10107421875,0.0,61.87754096091322
