Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Highest Average Percentage,Lowest Average Percentage,Charge,Charge Value,% Diff,High Avg %,Low Avg %
Short Sell,2024-06-20 12:30:00-04:00,675.8300171,135,-530.5490112,91237.05231,588.4558716,Sell Hold,91294.95917,12,17,-0.578144142,0.498866494,3.49226357,,,-0.578144142,0.498866494,3.49226357
Short Sell,2024-06-20 13:30:00-04:00,677.4400024,134,-460.09198,90776.96033,517.9988403,Sell Hold,90834.86719,12,17,-0.504281943,0.498866494,3.49226357,,,-0.504281943,0.498866494,3.49226357
Short Sell,2024-06-20 14:30:00-04:00,679.1199951,133,-454.0009766,90322.95935,511.9078369,Sell Hold,90380.86621,12,17,-0.500127978,0.498866494,3.49226357,,,-0.500127978,0.498866494,3.49226357
Short Sell,2024-06-20 15:30:00-04:00,678.9000244,133,-29.25610352,90293.70325,87.16296387,Sell Hold,90351.61011,12,17,-0.03239055,0.498866494,3.49226357,,,-0.03239055,0.498866494,3.49226357
Short Sell,2024-06-21 09:30:00-04:00,679.2999878,133,53.19512939,90346.89838,4.711730957,Sell Hold,90404.80524,12,17,0.058913443,0.498866494,3.49226357,,,0.058913443,0.498866494,3.49226357
Short Sell,2024-06-21 10:30:00-04:00,679.3800049,133,10.64227295,90357.54065,47.2645874,Sell Hold,90415.44751,12,17,0.011779345,0.498866494,3.49226357,,,0.011779345,0.498866494,3.49226357
Buy,2024-06-21 11:30:00-04:00,682.0999756,132,0,90037.19678,378.2507324,Buy,90095.10364,12,17,,0.498866494,3.49226357,630.2603774,0.7,,0.498866494,3.49226357
Buy Hold,2024-06-21 11:30:00-04:00,682.0999756,132,0,90037.19678,378.2507324,Buy Hold,90095.10364,12,17,0,0.498866494,3.49226357,,,0,0.498866494,3.49226357
Buy Hold,2024-06-21 12:30:00-04:00,683.7800293,132,221.7670898,90258.96387,378.2507324,Buy Hold,90316.87073,12,17,0.24630608,0.498866494,3.49226357,,,0.24630608,0.498866494,3.49226357
Buy Hold,2024-06-21 13:30:00-04:00,685,132,161.0361328,90420,378.2507324,Buy Hold,90477.90686,12,17,0.178415667,0.498866494,3.49226357,,,0.178415667,0.498866494,3.49226357
Buy Hold,2024-06-21 14:30:00-04:00,686.4500122,132,191.4016113,90611.40161,378.2507324,Buy Hold,90669.30847,12,17,0.211680614,0.498866494,3.49226357,,,0.211680614,0.498866494,3.49226357
Buy Hold,2024-06-21 15:30:00-04:00,686.5999756,132,19.79516602,90631.19678,378.2507324,Buy Hold,90689.10364,12,17,0.02184622,0.498866494,3.49226357,,,0.02184622,0.498866494,3.49226357
Buy Hold,2024-06-24 09:30:00-04:00,673.6849976,132,-1704.7771,88926.41968,378.2507324,Buy Hold,88984.32654,12,17,-1.881004732,0.498866494,3.49226357,,,-1.881004732,0.498866494,3.49226357
Buy Hold,2024-06-24 10:30:00-04:00,670.1400146,132,-467.9377441,88458.48193,378.2507324,Buy Hold,88516.38879,12,17,-0.526207786,0.498866494,3.49226357,,,-0.526207786,0.498866494,3.49226357
Buy Hold,2024-06-24 11:30:00-04:00,670.4249878,132,37.61645508,88496.09839,378.2507324,Buy Hold,88554.00525,12,17,0.042524419,0.498866494,3.49226357,,,0.042524419,0.498866494,3.49226357
